,logFC,AveExpr,t,P.Value,adj.P.Val,B
BCAT2,0.0872205784652635,6.60993116449908,3.50310164250464,0.000624366639863201,0.00117607179620225,-1.56331950169384
EIF3M,-0.132606897274781,7.69900355518353,-3.5019870875922,0.000626763828437775,0.0011804226785586,-1.56691148999523
PSG3,0.0648506414112409,4.17924534511997,3.50193365724538,0.00062687896380212,0.00118047501682955,-1.56708366144583
DKK1,-0.703119747062801,7.52571514958528,-3.50188677138111,0.000626980013057002,0.00118050081867726,-1.56723474246007
PIP,-0.13842499976768,5.94323311379397,-3.50093377754408,0.000629037246244294,0.0011842092746889,-1.57030522353655
PNPLA2,-0.086283134009833,8.08612382127997,-3.49962137685247,0.000631880727675241,0.00118939666219093,-1.57453254977098
ZCCHC10,-0.149261806026403,6.45496549557144,-3.4994412851747,0.000632271861012266,0.00118988516620252,-1.57511253353595
PEX19,-0.105015804405984,7.47886857522177,-3.49942081453825,0.000632316334714503,0.00118988516620252,-1.57517845747858
AHSP,-0.0721486600871374,5.47207342872305,-3.4990700726362,0.000633078800081114,0.0011911541115267,-1.57630794202653
MGC12488,-0.142210737383195,4.82654274344997,-3.49870295274308,0.000633877795217806,0.00119249142571947,-1.57749006716415
TPD52L2,0.163629646179503,9.02526414104565,3.49862031694889,0.000634057773452053,0.00119266399557474,-1.57775613996967
ARMC9,0.0897297104249791,4.36105875067185,3.49848978485871,0.000634342166284047,0.00119303289414541,-1.57817641980675
NDST3,-0.0723007937393441,3.90432020650184,-3.49781078555155,0.000635823451677039,0.00119565242095661,-1.58036241265554
PQLC3,-0.0785777479395861,6.41918695387505,-3.49651352235811,0.000638662573712813,0.00120082424648423,-1.58453788191471
SPECC1L,-0.169545919980309,7.77215885609317,-3.49630622552316,0.000639117356033591,0.00120151218066407,-1.58520498358146
WIF1,-0.681279918320574,5.1268216850928,-3.49596883030123,0.000639858208645584,0.00120273764810084,-1.58629068422737
FAM208A,-0.101784016601045,7.14464542491767,-3.49470709103497,0.000642635900337894,0.00120745366516059,-1.59035004843565
GNAI1,0.264224231149123,7.10516093299486,3.49469160605871,0.000642670060513301,0.00120745366516059,-1.59039986030259
DZIP1,0.170259024188089,5.5227535200995,3.49467515777129,0.000642706347643216,0.00120745366516059,-1.59045277073467
OR7C1,-0.0660027759083676,4.31870539199251,-3.49466692830449,0.000642724503674824,0.00120745366516059,-1.59047924299603
MYO7A,0.0654554189433518,5.21419679753206,3.49119097367916,0.000650436509259387,0.00122177198368876,-1.6016559267792
GP6,-0.0748424083343706,4.31008854467821,-3.4910075387485,0.000650845898825928,0.00122237108430134,-1.60224549115631
PDE3A,-0.0838430223409413,5.01878787451068,-3.48998544798459,0.000653131437947491,0.00122649317547038,-1.60553004315419
ARCN1,-0.130139317318339,8.78988446124992,-3.48801104842331,0.000657567859447654,0.00123457589752492,-1.61187262770987
CXCL14,0.519852493188074,9.78468334301687,3.48798865384857,0.000657618341567287,0.00123457589752492,-1.61194455114132
RASSF1,-0.121695673249862,6.99535599884866,-3.48775979892793,0.000658134438012372,0.0012353217735496,-1.61267952990371
NAA40,0.140690381482612,6.98347274149936,3.48773142427514,0.000658198452928646,0.0012353217735496,-1.6127706536857
RNF130,0.0830578344500317,6.17408797043736,3.48760947137523,0.000658473652633758,0.00123566667805405,-1.61316229230166
GPR171,-0.234144372740265,5.3096841888669,-3.48711051269579,0.000659600733218108,0.00123760987219807,-1.61476452546307
SLC6A20,-0.0743704600031804,4.40911925032745,-3.48660684650707,0.000660740286808161,0.00123957592673685,-1.61638168126285
OR2B2,-0.0656926977150998,3.79050073126272,-3.48526522018853,0.000663784778434867,0.00124511468154715,-1.6206883827973
SNAPC5,0.0801873084899848,6.50258960982594,3.48499303326729,0.000664404046918727,0.00124610334361735,-1.621561950559
GNPAT,0.109778440944696,8.84026980014321,3.48450544698401,0.000665514741349704,0.00124801328282798,-1.62312668749313
NRAP,-0.0657807552806002,3.97269555039687,-3.48216910186988,0.000670861068869623,0.00125786450413054,-1.63062183206988
MUSK,-0.0534181702933823,3.95850401723641,-3.48211939817261,0.000670975244695473,0.00125790406881111,-1.63078123914443
HIST1H2AD /// HIST1H3A /// HIST1H3B /// HIST1H3C /// HIST1H3D /// HIST1H3E /// HIST1H3F /// HIST1H3G /// HIST1H3H /// HIST1H3I /// HIST1H3J,-0.371890385468269,5.81089205000314,-3.48135026153972,0.000672744381120901,0.0012610458128778,-1.63324773154355
GPRC5A,-0.292028666266007,7.47641360640826,-3.4804938411384,0.000674719443134158,0.00126457263541231,-1.63599359335837
CCDC177,0.107816902097394,4.80028626774282,3.48000305800432,0.000675853734130033,0.00126652290859226,-1.63756689197193
ACTL7B,-0.0670516359366926,4.83578639805012,-3.47959529810179,0.000676797506005532,0.00126811566528002,-1.63887390300421
