"","ME9","ME5","ME12","ME2","ME4","ME6","ME11","ME10","ME1","ME13","ME7","ME3","ME8","ME0"
"KRT1",0.0169256580366606,0.0592074208138505,0.00269028586261729,0.0472846014481771,0.12454618305998,0.0434480468797962,0.0939549951912577,-0.0368061574413295,-0.111350107925722,-0.0486166245524596,-0.082303898757666,-0.124630889869638,-0.0744759241975566,0.077358447559799
"KRT10",-0.18577790121321,-0.215576510847687,-0.299979722758585,-0.455916540630271,-0.421412687100389,0.0526329008284202,0.407184285281115,0.264582214358107,0.526139127035854,0.435937521315549,0.30846990799361,0.29204086812058,0.426599840318028,-0.512317891827282
"KRT12",-0.0795899319036104,0.0127387823795542,0.0707319992979034,0.0149934340985716,0.137288236614396,-0.079396804190428,0.120883595679829,0.1360096969483,0.0351177493581717,0.0793141377158005,-0.127057441815382,-0.0750695326696601,-0.00866328753228209,-0.0330815574849144
"KRT13",0.346130715972888,0.232625077297147,0.298624874401957,0.546584734426035,0.553322503944365,0.146162694470728,-0.403390264521861,-0.573719289310806,-0.694899691831517,-0.495192040575568,-0.249643873794378,-0.363989374384096,-0.422735357990378,0.664359360287024
"KRT14",-0.201631141892478,-0.205069006153479,-0.292438135744427,-0.58307733167799,-0.451319147230464,0.0354868407882591,0.322082844074346,0.37186115325587,0.568562059255001,0.486722890525899,0.303721413387236,0.369032628280943,0.356494564811345,-0.549209572552418
"KRT15",0.218569217349533,0.18940001250389,0.225393365352108,0.387093862017402,0.438767562174597,0.137446139008195,-0.23092724527753,-0.326866495922721,-0.482513199596069,-0.333325792785031,-0.0581648585404032,-0.197130311277055,-0.274957406222927,0.467017101548152
"KRT16",-0.103393955038369,-0.247036266773316,-0.288887269618808,-0.527630138345857,-0.465028616192708,0.106928113188348,0.222799201852564,0.328531223351071,0.495169123590553,0.446767127464804,0.355102711701541,0.400141946473751,0.295674090639792,-0.488274144266227
"KRT18",-0.107631586477587,0.0120233638213872,0.0467273562344922,-0.114405702960478,-0.151265467495933,-0.178536409788231,0.0678676589710033,0.164287168662479,0.194646516150507,0.219406079990767,-0.0406364273508892,-0.0115112673552166,-0.00980507842395632,-0.226212784375215
"KRT18P38 /// KRT18P38",0.164729431832618,0.247309603588738,0.121903845693599,0.145725016484162,0.226358336826755,-0.0162215745390808,-0.266991531735325,-0.292193260399624,-0.315737982306856,-0.275214023844295,-0.200017419590462,-0.0981573191778503,-0.2048750338819,0.383506568546937
"KRT18P44 /// KRT18P44",0.159925574080103,0.319957310967565,0.053099797353497,0.261981889727052,0.292472140754817,-0.0122428454107984,-0.152145142160065,-0.298408605650547,-0.389376731823985,-0.307457634860033,-0.177736469517075,-0.126600774694841,-0.196172292980405,0.483644376565295
"KRT18P50 /// KRT18P50",0.12594298291503,0.241394968598824,-0.0337283579437361,0.202595859938027,0.207543125622836,0.0811561174876116,-0.177429440465026,-0.197519464052425,-0.285854085590184,-0.201449554078637,-0.0885769420086632,-0.142019357620297,-0.180158679224814,0.333380189841658
